epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11498,0.56891,1.03161,1.14174,0.99292,0.98175,0.99446,0.88629,0.50114,1.12808,1.08269,0.000661111,0.000661111,0.000661111
2,23948.7,0.53804,0.59784,1.09832,0.99895,0.99538,0.995,0.87045,0.58771,0.80989,1.21412,0.000889611,0.000889611,0.000889611
3,38452.9,0.48054,0.47222,1.07024,0.99995,0.99844,0.995,0.91791,0.41113,0.51979,0.93675,0.000678111,0.000678111,0.000678111
