epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5541,0.78063,2.92393,1.42521,0.00111,0.98319,0.58936,0.39316,0.38284,119.009,0.80461,0.00042,0.00042,0.00042
2,175.893,0.88918,2.60587,1.56067,0.85316,0.84034,0.86707,0.67879,0.47531,111.209,0.99302,0.0005762,0.0005762,0.0005762
3,266.657,0.71807,1.77715,1.37121,0.89173,0.83059,0.84054,0.65388,0.4488,108.436,0.86251,0.000442,0.000442,0.000442
