epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,628.201,0.59881,1.35866,1.16349,0.94327,0.90683,0.98683,0.65782,0.90637,2.49298,1.56594,0.000647619,0.000647619,0.000647619
2,1022.62,0.55226,0.85905,1.12306,0.8619,0.90062,0.91026,0.55938,0.95362,2.28735,1.63926,0.000880571,0.000880571,0.000880571
3,1396.89,0.5189,0.73325,1.09389,0.99859,1,0.995,0.87012,0.48288,1.26575,1.04605,0.000673524,0.000673524,0.000673524
