epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,10697.9,0.72451,0.53461,1.36012,1,0.99836,0.995,0.92992,0.43581,0.37342,1.01439,0.0011486,0.0011486,0.0011486
45,10900.7,0.71102,0.51902,1.31736,0.99675,1,0.995,0.92837,0.44371,0.33193,1.00288,0.0011288,0.0011288,0.0011288
46,11109,0.68077,0.50448,1.29403,0.98906,1,0.995,0.87594,0.45763,0.36306,1.06789,0.001109,0.001109,0.001109
47,11293.6,0.72211,0.52463,1.34171,0.99912,1,0.995,0.91509,0.41649,0.33533,1.00024,0.0010892,0.0010892,0.0010892
48,11489.5,0.74059,0.52123,1.35845,1,0.97382,0.995,0.92637,0.40124,0.33635,0.98124,0.0010694,0.0010694,0.0010694
49,11698.3,0.69381,0.50178,1.31539,0.99496,1,0.995,0.94145,0.4357,0.35002,1.00187,0.0010496,0.0010496,0.0010496
50,11909.7,0.69671,0.50698,1.32222,0.99551,1,0.995,0.95057,0.43463,0.33858,1.00552,0.0010298,0.0010298,0.0010298
51,12101.3,0.636,0.46883,1.26834,0.99587,1,0.995,0.94794,0.38298,0.29188,0.97196,0.00101,0.00101,0.00101
52,12307,0.67325,0.47531,1.2682,0.99471,1,0.995,0.92617,0.3933,0.32138,0.98798,0.0009902,0.0009902,0.0009902
53,12514.7,0.7056,0.49364,1.3038,0.99257,1,0.995,0.97032,0.33699,0.30343,0.93144,0.0009704,0.0009704,0.0009704
54,12707,0.70212,0.52937,1.30566,0.99555,1,0.995,0.97419,0.32449,0.27275,0.9167,0.0009506,0.0009506,0.0009506
55,12892.8,0.64124,0.48574,1.26458,0.99393,1,0.995,0.95439,0.36282,0.30255,0.96865,0.0009308,0.0009308,0.0009308
56,13107.5,0.64287,0.46505,1.26586,0.99446,1,0.995,0.95306,0.38096,0.31841,0.98341,0.000911,0.000911,0.000911
57,13324.7,0.62089,0.45468,1.23728,0.9944,1,0.995,0.97859,0.31964,0.28708,0.94002,0.0008912,0.0008912,0.0008912
58,13523,0.62968,0.45874,1.266,0.99542,1,0.995,0.96689,0.38518,0.26284,0.94799,0.0008714,0.0008714,0.0008714
59,13730.9,0.64091,0.455,1.2389,0.99507,1,0.995,0.995,0.29603,0.27941,0.90851,0.0008516,0.0008516,0.0008516
60,13942.6,0.59291,0.42604,1.21569,0.9946,1,0.995,0.97182,0.34292,0.25357,0.92191,0.0008318,0.0008318,0.0008318
61,14172.7,0.61148,0.42792,1.22714,0.99461,1,0.995,0.96502,0.37628,0.2614,0.94402,0.000812,0.000812,0.000812
62,14405,0.58982,0.42713,1.21597,0.99426,1,0.995,0.96045,0.2775,0.24413,0.92691,0.0007922,0.0007922,0.0007922
63,14620.1,0.58013,0.412,1.20514,0.99517,1,0.995,0.97423,0.3431,0.23622,0.96845,0.0007724,0.0007724,0.0007724
64,14838.8,0.57341,0.42219,1.20279,0.99455,1,0.995,0.96896,0.26991,0.26462,0.89093,0.0007526,0.0007526,0.0007526
65,15070.2,0.57966,0.42101,1.19654,0.99509,1,0.995,0.96921,0.33634,0.26091,0.93576,0.0007328,0.0007328,0.0007328
66,15304.4,0.57962,0.423,1.22033,0.99302,1,0.995,0.97435,0.29939,0.27479,0.91793,0.000713,0.000713,0.000713
67,15520,0.56431,0.41607,1.18791,0.99471,1,0.995,0.969,0.26972,0.28051,0.89665,0.0006932,0.0006932,0.0006932
68,15739.3,0.56654,0.40576,1.18164,0.99465,1,0.995,0.9868,0.3045,0.24806,0.90907,0.0006734,0.0006734,0.0006734
69,15969.8,0.5392,0.39297,1.17447,0.99443,1,0.995,0.95489,0.34914,0.2532,0.9454,0.0006536,0.0006536,0.0006536
70,16204.6,0.55669,0.40405,1.17887,0.99423,1,0.995,0.95418,0.27755,0.24609,0.88126,0.0006338,0.0006338,0.0006338
71,16421.4,0.54697,0.39909,1.16747,0.99402,1,0.995,0.98796,0.27966,0.25019,0.87574,0.000614,0.000614,0.000614
72,16665.8,0.55045,0.38649,1.16696,0.99456,1,0.995,0.98875,0.29554,0.2383,0.90781,0.0005942,0.0005942,0.0005942
73,16924.2,0.53809,0.39734,1.1725,0.99427,1,0.995,0.94855,0.30711,0.24115,0.90658,0.0005744,0.0005744,0.0005744
74,17137.2,0.57201,0.39684,1.19914,0.99456,1,0.995,0.97363,0.28024,0.2458,0.88217,0.0005546,0.0005546,0.0005546
75,17356,0.54928,0.39171,1.13873,0.99436,1,0.995,0.98575,0.28056,0.23509,0.92361,0.0005348,0.0005348,0.0005348
76,17593.6,0.54288,0.38837,1.16084,0.9944,1,0.995,0.96716,0.28738,0.24644,0.88777,0.000515,0.000515,0.000515
77,17806,0.55778,0.39571,1.20019,0.99364,1,0.995,0.96727,0.31996,0.25381,0.89854,0.0004952,0.0004952,0.0004952
78,18040.2,0.55026,0.39869,1.18901,0.99436,1,0.995,0.98739,0.29796,0.24635,0.89418,0.0004754,0.0004754,0.0004754
79,18273.1,0.50752,0.36796,1.13845,0.99486,1,0.995,0.98552,0.28551,0.22633,0.88501,0.0004556,0.0004556,0.0004556
80,18484.7,0.5278,0.38095,1.15318,0.99475,1,0.995,0.98832,0.27193,0.20128,0.89275,0.0004358,0.0004358,0.0004358
81,18695.9,0.53765,0.36816,1.15763,0.9947,1,0.995,0.995,0.26769,0.20881,0.8871,0.000416,0.000416,0.000416
82,18941.6,0.52533,0.36452,1.15767,0.98689,1,0.995,0.98617,0.2941,0.25407,0.89963,0.0003962,0.0003962,0.0003962
83,19173.5,0.4994,0.35875,1.13416,0.99436,1,0.995,0.995,0.25005,0.21888,0.87631,0.0003764,0.0003764,0.0003764
84,19385.8,0.4951,0.3532,1.13819,0.9946,1,0.995,0.98875,0.24053,0.17993,0.87516,0.0003566,0.0003566,0.0003566
85,19605.7,0.4919,0.35607,1.12668,0.9947,1,0.995,0.97827,0.25636,0.21274,0.88237,0.0003368,0.0003368,0.0003368
86,19851.1,0.46494,0.33357,1.10897,0.99435,1,0.995,0.98832,0.22874,0.20467,0.8758,0.000317,0.000317,0.000317
87,20087,0.47685,0.35696,1.11748,0.99433,1,0.995,0.97776,0.29745,0.20852,0.899,0.0002972,0.0002972,0.0002972
88,20305.6,0.52107,0.37519,1.16731,0.99448,1,0.995,0.98717,0.23795,0.20641,0.869,0.0002774,0.0002774,0.0002774
89,20530.3,0.48859,0.35004,1.12275,0.99443,1,0.995,0.98588,0.24752,0.18623,0.85988,0.0002576,0.0002576,0.0002576
90,20755.3,0.48495,0.3484,1.13136,0.9949,1,0.995,0.98875,0.22863,0.18586,0.87999,0.0002378,0.0002378,0.0002378
91,21037.1,0.39367,0.35392,1.01499,1,1,0.995,0.97322,0.29749,0.20613,0.88158,0.000218,0.000218,0.000218
92,21301.3,0.39748,0.30761,1.01919,1,1,0.995,0.97941,0.23465,0.19776,0.87082,0.0001982,0.0001982,0.0001982
93,21546.3,0.38251,0.28658,1.01801,1,1,0.995,0.98186,0.24494,0.20755,0.87925,0.0001784,0.0001784,0.0001784
94,21822.9,0.36699,0.27754,1.00118,1,1,0.995,0.98048,0.24619,0.19836,0.86524,0.0001586,0.0001586,0.0001586
95,22084.6,0.35534,0.2683,0.98965,0.99453,1,0.995,0.98753,0.25082,0.2041,0.86279,0.0001388,0.0001388,0.0001388
96,22359.1,0.36074,0.26567,0.99045,1,1,0.995,0.98928,0.21539,0.18908,0.85078,0.000119,0.000119,0.000119
97,22602.5,0.34211,0.26,0.96891,0.99458,1,0.995,0.97853,0.23277,0.19351,0.85345,9.92e-05,9.92e-05,9.92e-05
98,22911.5,0.34256,0.26454,0.97618,0.99459,1,0.995,0.9778,0.22647,0.1892,0.84368,7.94e-05,7.94e-05,7.94e-05
99,23192.8,0.34443,0.25903,0.99237,0.99449,1,0.995,0.98631,0.21796,0.18901,0.84394,5.96e-05,5.96e-05,5.96e-05
100,23444.7,0.33438,0.25568,0.98865,0.99457,1,0.995,0.97853,0.21763,0.1736,0.84672,3.98e-05,3.98e-05,3.98e-05
