epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,502.424,0.87432,1.2219,1.35313,0.93297,0.91212,0.96797,0.6081,1.23298,1.73794,1.99316,0.000661871,0.000661871,0.000661871
2,1031.39,0.81474,0.73812,1.29576,0.98734,0.98849,0.99446,0.65786,1.15304,1.08028,1.81235,0.00106549,0.00106549,0.00106549
3,1550.77,0.75886,0.5733,1.24873,0.96161,0.97299,0.98967,0.74143,0.92563,0.87524,1.54407,0.0012051,0.0012051,0.0012051
4,2070.73,0.68961,0.48609,1.20345,0.99941,0.9985,0.995,0.84097,0.64279,0.48135,1.20876,0.000812,0.000812,0.000812
5,2585.32,0.59056,0.40554,1.13201,0.99996,0.9985,0.995,0.88352,0.52891,0.39196,1.04959,0.000416,0.000416,0.000416
