epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.4305,0.68981,2.3831,1.31165,0.00327,0.98077,0.87851,0.66772,0.4519,3.13301,1.14794,0.00012,0.00012,0.00012
2,63.5985,0.56671,1.58991,1.22364,0.0033,0.99038,0.87197,0.70678,0.43567,3.00313,1.15704,0.0001742,0.0001742,0.0001742
3,95.0363,0.45834,1.18289,1.13902,0.0033,0.99038,0.92243,0.79106,0.48937,3.03192,1.24656,0.000136,0.000136,0.000136
