epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.8856,0.688,2.42133,1.31488,0.00278,1,0.81722,0.6761,0.36422,3.2977,1.22487,0.0001,0.0001,0.0001
2,47.014,0.52858,1.78607,1.15529,0.00278,1,0.995,0.73929,0.51172,3.23284,1.35093,0.0001474,0.0001474,0.0001474
3,67.2947,0.47409,1.24501,1.16726,0.00278,1,0.995,0.8249,0.50015,3.16247,1.3418,0.0001156,0.0001156,0.0001156
